"scientificName" "occurrenceRemarks" "occurrenceStatus" "occurrenceStatus01"
"1" "Acinos arvensis (Lam.) Dandy" "p1-2009" "present" 1
"2" "Acinos arvensis (Lam.) Dandy" "p2-2009" "present" 1
"3" "Acinos arvensis (Lam.) Dandy" "p3-2009" "absent" 0
"4" "Acinos arvensis (Lam.) Dandy" "p4-2009" "present" 1
"5" "Acinos arvensis (Lam.) Dandy" "p5-2009" "present" 1
"6" "Acinos arvensis (Lam.) Dandy" "p6-2009" "present" 1
"7" "Acinos arvensis (Lam.) Dandy" "p7-2009" "present" 1
"8" "Acinos arvensis (Lam.) Dandy" "p8-2009" "present" 1
"9" "Acinos arvensis (Lam.) Dandy" "p9-2009" "present" 1
"10" "Acinos arvensis (Lam.) Dandy" "p10-2009" "present" 1
"11" "Acinos arvensis (Lam.) Dandy" "p11-2009" "absent" 0
"12" "Acinos arvensis (Lam.) Dandy" "p12-2009" "present" 1
"13" "Acinos arvensis (Lam.) Dandy" "p13-2009" "present" 1
"14" "Acinos arvensis (Lam.) Dandy" "p14-2009" "present" 1
"15" "Acinos arvensis (Lam.) Dandy" "p15-2009" "absent" 0
"16" "Acinos arvensis (Lam.) Dandy" "p1-2019" "absent" 0
"17" "Acinos arvensis (Lam.) Dandy" "p2-2019" "present" 1
"18" "Acinos arvensis (Lam.) Dandy" "p3-2019" "present" 1
"19" "Acinos arvensis (Lam.) Dandy" "p4-2019" "present" 1
"20" "Acinos arvensis (Lam.) Dandy" "p5-2019" "absent" 0
"21" "Acinos arvensis (Lam.) Dandy" "p6-2019" "present" 1
"22" "Acinos arvensis (Lam.) Dandy" "p7-2019" "present" 1
"23" "Acinos arvensis (Lam.) Dandy" "p8-2019" "present" 1
"24" "Acinos arvensis (Lam.) Dandy" "p9-2019" "present" 1
"25" "Acinos arvensis (Lam.) Dandy" "p10-2019" "present" 1
"26" "Acinos arvensis (Lam.) Dandy" "p11-2019" "present" 1
"27" "Acinos arvensis (Lam.) Dandy" "p12-2019" "present" 1
